# of rank,Artwork&Artwork,Artist&Artwork,Artist&Artist
37,21.45730337078652,13.458426966292135,2.0842696629213484
38,22.037230488915885,13.822168235651382,2.140601275432736
39,22.61715760704525,14.18590950501063,2.196932887944124
40,23.197084725174616,14.549650774369876,2.2532645004555114
41,23.77701184330398,14.913392043729122,2.3095961129668994
42,24.356938961433347,15.277133313088369,2.3659277254782873
43,24.936866079562712,15.640874582447616,2.422259337989675
44,25.516793197692078,16.004615851806864,2.478590950501063
45,26.096720315821443,16.36835712116611,2.5349225630124503
46,26.67664743395081,16.73209839052536,2.5912541755238383
47,27.256574552080174,17.095839659884604,2.6475857880352263
48,27.836501670209536,17.45958092924385,2.703917400546614
49,28.4164287883389,17.823322198603098,2.7602490130580017
50,28.996355906468267,18.187063467962343,2.8165806255693893
51,29.576283024597632,18.55080473732159,2.8729122380807772
52,30.156210142726998,18.914546006680837,2.929243850592165
53,30.736137260856363,19.278287276040086,2.9855754631035527
54,31.31606437898573,19.64202854539933,3.0419070756149407
55,31.895991497115094,20.00576981475858,3.0982386881263286
56,32.47591861524446,20.369511084117825,3.154570300637716
57,33.05584573337383,20.733252353477074,3.210901913149104
58,33.63577285150319,21.09699362283632,3.2672335256604916
59,34.21569996963256,21.460734892195568,3.3235651381718796
60,34.79562708776192,21.824476161554813,3.3798967506832676
61,35.37555420589129,22.18821743091406,3.436228363194655
62,35.95548132402065,22.551958700273307,3.492559975706043
63,36.53540844215002,22.915699969632556,3.5488915882174306
64,37.115335560279384,23.2794412389918,3.6052232007288185
65,37.695262678408746,23.643182508351046,3.6615548132402065
66,38.275189796538115,24.006923777710295,3.717886425751594
67,38.85511691466748,24.37066504706954,3.774218038262982
68,39.435044032796846,24.73440631642879,3.8305496507743695
69,40.01497115092621,25.098147585788034,3.8868812632857574
70,40.59489826905558,25.461888855147283,3.9432128757971454
71,41.17482538718494,25.825630124506528,3.999544488308533
72,41.75475250531431,26.189371393865777,4.055876100819921
73,42.33467962344367,26.553112663225022,4.112207713331308
74,42.91460674157304,26.91685393258427,4.168539325842697
75,43.4945338597024,27.280595201943516,4.224870938354084
76,44.07446097783177,27.644336471302765,4.281202550865472
77,44.65438809596113,28.00807774066201,4.337534163376859
78,45.2343152140905,28.37181901002126,4.393865775888248
79,45.81424233221986,28.735560279380504,4.450197388399635
80,46.39416945034923,29.099301548739753,4.506529000911023
81,46.97409656847859,29.463042818098998,4.562860613422411
82,47.55402368660796,29.826784087458243,4.619192225933799
83,48.133950804737324,30.190525356817492,4.675523838445186
84,48.71387792286669,30.554266626176737,4.731855450956575
85,49.293805040996055,30.918007895535986,4.788187063467962
86,49.873732159125424,31.28174916489523,4.84451867597935
87,50.453659277254786,31.64549043425448,4.900850288490738
88,51.033586395384155,32.00923170361373,4.957181901002126
